"""",DXXFMBCC,""":'",Total femur BMD invalidity code,,"',","""DXXFMBCC"":'Total femur BMD invalidity code',"
"""",DXXOFBMD,""":'",Total femur BMD,,"',","""DXXOFBMD"":'Total femur BMD',"
"""",DXXOFBMC,""":'",Total femur BMC,,"',","""DXXOFBMC"":'Total femur BMC',"
"""",DXXOFA,""":'",Total femur area,,"',","""DXXOFA"":'Total femur area',"
"""",DXXNKBMD,""":'",Femoral neck BMD,,"',","""DXXNKBMD"":'Femoral neck BMD',"
"""",DXXNKBMC,""":'",Femoral neck BMC,,"',","""DXXNKBMC"":'Femoral neck BMC',"
"""",DXXNKA,""":'",Femoral neck area,,"',","""DXXNKA"":'Femoral neck area',"
"""",DXXTRBMD,""":'",Trochanter BMD,,"',","""DXXTRBMD"":'Trochanter BMD',"
"""",DXXTRBMC,""":'",Trochanter BMC,,"',","""DXXTRBMC"":'Trochanter BMC',"
"""",DXXTRA,""":'",Trochanter area,,"',","""DXXTRA"":'Trochanter area',"
"""",DXXINBMD,""":'",Intertrochanter BMD,,"',","""DXXINBMD"":'Intertrochanter BMD',"
"""",DXXINBMC,""":'",Intertrochanter BMC,,"',","""DXXINBMC"":'Intertrochanter BMC',"
"""",DXXINA,""":'",Intertrochanter area,,"',","""DXXINA"":'Intertrochanter area',"
"""",DXXWDBMD,""":'",Wards triangle BMD,,"',","""DXXWDBMD"":'Wards triangle BMD',"
"""",DXXWDBMC,""":'",Wards triangle BMC,,"',","""DXXWDBMC"":'Wards triangle BMC',"
"""",DXXWDA,""":'",Wards triangle area,,"',","""DXXWDA"":'Wards triangle area',"
"""",DXAFMRK,""":'",Calculated K for femur,,"',","""DXAFMRK"":'Calculated K for femur',"
"""",DXAFMRD0,""":'",Calculated DO for femur,,"',","""DXAFMRD0"":'Calculated DO for femur',"
"""",DXXPRVFX,""":'",Previous self-reported fracture after age 20,,"',","""DXXPRVFX"":'Previous self-reported fracture after age 20',"
"""",DXXFRAX1,""":'",10-year hip fracture risk score assuming previous fracture,,"',","""DXXFRAX1"":'10-year hip fracture risk score assuming previous fracture',"
"""",DXXFRAX2,""":'",10-year major osteoporotic fracture risk score assuming previous fracture,,"',","""DXXFRAX2"":'10-year major osteoporotic fracture risk score assuming previous fracture',"
"""",DXXFRAX3,""":'",10-year hip fracture risk score assuming no previous fracture,,"',","""DXXFRAX3"":'10-year hip fracture risk score assuming no previous fracture',"
"""",DXXFRAX4,""":'",10-year major osteoporotic fracture risk score assuming no previous fracture,,"',","""DXXFRAX4"":'10-year major osteoporotic fracture risk score assuming no previous fracture',"
"""",DXASPNST,""":'",Spine scan status,,"',","""DXASPNST"":'Spine scan status',"
"""",DXXOSBCC,""":'",Total spine BMD invalidity code,,"',","""DXXOSBCC"":'Total spine BMD invalidity code',"
,DXXL1BCC,,L1 BMD invalidity code,x,,
,DXXL2BCC,,L2 BMD invalidity code,x,,
,DXXL3BCC,,L3 BMD invalidity code,x,,
,DXXL4BCC,,L4 BMD invalidity code,x,,
,DXXOSBMD,,Total spine BMD,x,,
,DXXOSBMC,,Total spine BMC,x,,
,DXXOSA,,Total spine area,x,,
,DXXL1BMD,,L1 BMD,x,,
,DXXL1BMC,,L1 BMC,x,,
,DXXL1A,,L1 area,x,,
,DXXL2BMD,,L2 BMD,x,,
,DXXL2BMC,,L2 BMC,x,,
,DXXL2A,,L2 area,x,,
,DXXL3BMD,,L3 BMD,x,,
,DXXL3BMC,,L3 BMC,x,,
,DXXL3A,,L3 area,x,,
,DXXL4BMD,,L4 BMD,x,,
,DXXL4BMC,,L4 BMC,x,,
,DXXL4A,,L4 area,x,,
',DXASPNK,""":'",Calculated K for spine,,"',","'DXASPNK"":'Calculated K for spine',"
',DXASPND0,""":'",Calculated DO for spine,,"',","'DXASPND0"":'Calculated DO for spine',"
',DXDLSPST,""":'",Instant Vertebral Assessment (IVA) Lateral Spine scan status,,"',","'DXDLSPST"":'Instant Vertebral Assessment (IVA) Lateral Spine scan status',"
,DXXT4CC,,T4 fracture invalidity code,x,,
,DXXT5CC,,T5 fracture invalidity code,x,,
,DXXT6CC,,T6 fracture invalidity code,x,,
,DXXT7CC,,T7 fracture invalidity code,x,,
,DXXT8CC,,T8 fracture invalidity code,x,,
,DXXT9CC,,T9 fracture invalidity code,x,,
,DXXT10CC,,T10 fracture invalidity code,x,,
,DXXT11CC,,T11 fracture invalidity code,x,,
,DXXT12CC,,T12 fracture invalidity code,x,,
,DXXL1CC,,L1 fracture invalidity code,x,,
,DXXL2CC,,L2 fracture invalidity code,x,,
,DXXL3CC,,L3 fracture invalidity code,x,,
,DXXL4CC,,L4 fracture invalidity code,x,,
',DXXVFAST,""":'",Vertebral fracture status summary,,"',","'DXXVFAST"":'Vertebral fracture status summary',"
,DXXT4FX,,T4 fracture score,x,,
,DXXT5FX,,T5 fracture score,x,,
,DXXT6FX,,T6 fracture score,x,,
,DXXT7FX,,T7 fracture score,x,,
,DXXT8FX,,T8 fracture score,x,,
,DXXT9FX,,T9 fracture score,x,,
,DXXT10FX,,T10 fracture score,x,,
,DXXT11FX,,T11 fracture score,x,,
,DXXT12FX,,T12 fracture score,x,,
,DXXL1FX,,L1 fracture score,x,,
,DXXL2FX,,L2 fracture score,x,,
,DXXL3FX,,L3 fracture score,x,,
,DXXL4FX,,L4 fracture score,x,,
,DXXT4CO,,Original T4 fracture invalidity code,x,,
,DXXT5CO,,Original T5 fracture invalidity code,x,,
,DXXT6CO,,Original T6 fracture invalidity code,x,,
,DXXT7CO,,Original T7 fracture invalidity code,x,,
,DXXT8CO,,Original T8 fracture invalidity code,x,,
,DXXT9CO,,Original T9 fracture invalidity code,x,,
,DXXT10CO,,Original T10 fracture invalidity code,x,,
,DXXT11CO,,Original T11 fracture invalidity code,x,,
,DXXT12CO,,Original T12 fracture invalidity code,x,,
,DXXL1CO,,Original L1 fracture invalidity code,x,,
,DXXL2CO,,Original L2 fracture invalidity code,x,,
,DXXL3CO,,Original L3 fracture invalidity code,x,,
,DXXL4CO,,Original L4 fracture invalidity code,x,,
',DXXVFASO,""":'",Original vertebral fracture status summary,,"',","'DXXVFASO"":'Original vertebral fracture status summary',"
,DXXT4FO,,Original T4 fracture score,x,,
,DXXT5FO,,Original T5 fracture score,x,,
,DXXT6FO,,Original T6 fracture score,x,,
,DXXT7FO,,Original IVA T7 Fracture Score,x,,
,DXXT8FO,,Original T8 fracture score,x,,
,DXXT9FO,,Original T9 fracture score,x,,
,DXXT10FO,,Original T10 fracture score,x,,
,DXXT11FO,,Original T11 fracture score,x,,
,DXXT12FO,,Original T12 fracture score,x,,
,DXXL1FO,,Original L1 fracture score,x,,
,DXXL2FO,,Original L2 fracture score,x,,
,DXXL3FO,,Original L3 fracture score,x,,
,DXXL4FO,,Original L4 fracture score,x,,
',DXXVFASG,""":'",Genant Vertebral fracture status summary,,"',","'DXXVFASG"":'Genant Vertebral fracture status summary',"
,DXXT4CG,,Genant T4 fracture invalidity code,x,,
,DXXT5CG,,Genant T5 fracture invalidity code,x,,
,DXXT6CG,,Genant T6 fracture invalidity code,x,,
,DXXT7CG,,Genant T7 fracture invalidity code,x,,
,DXXT8CG,,Genant T8 fracture invalidity code,x,,
,DXXT9CG,,Genant T9 fracture invalidity code,x,,
,DXXT10CG,,Genant T10 fracture invalidity code,x,,
,DXXT11CG,,Genant T11 fracture invalidity code,x,,
,DXXT12CG,,Genant T12 fracture invalidity code,x,,
,DXXL1CG,,Genant L1 fracture invalidity code,x,,
,DXXL2CG,,Genant L2 fracture invalidity code,x,,
,DXXL3CG,,Genant L3 fracture invalidity code,x,,
,DXXL4CG,,Genant L4 fracture invalidity code,x,,
,DXXT4FG,,Genant T4 fracture score,x,,
,DXXT5FG,,Genant T5 fracture score,x,,
,DXXT6FG,,Genant T6 fracture score,x,,
,DXXT7FG,,Genant T7 fracture score,x,,
,DXXT8FG,,Genant T8 fracture score,x,,
,DXXT9FG,,Genant T9 fracture score,x,,
,DXXT10FG,,Genant T10 fracture score,x,,
,DXXT11FG,,Genant T11 fracture score,x,,
,DXXT12FG,,Genant T12 fracture score,x,,
,DXXL1FG,,Genant L1 fracture score,x,,
,DXXL2FG,,Genant L2 fracture score,x,,
,DXXL3FG,,Genant L3 fracture score,x,,
,DXXL4FG,,Genant L4 fracture score,x,,
,DXXT4G1,,Genant T4 comment 1,x,,
,DXXT4G2,,Genant T4 comment 2,x,,
,DXXT4G3,,Genant T4 comment 3,x,,
,DXXT5G1,,Genant T5 comment 1,x,,
,DXXT5G2,,Genant T5 comment 2,x,,
,DXXT5G3,,Genant T5 comment 3,x,,
,DXXT6G1,,Genant T6 comment 1,x,,
,DXXT6G2,,Genant T6 comment 2,x,,
,DXXT7G1,,Genant T7 comment 1,x,,
,DXXT7G2,,Genant T7 comment 2,x,,
,DXXT8G1,,Genant T8 comment 1,x,,
,DXXT8G2,,Genant T8 comment 2,x,,
,DXXT8G3,,Genant T8 comment 3,x,,
,DXXT9G1,,Genant T9 comment 1,x,,
,DXXT9G2,,Genant T9 comment 2,x,,
,DXXT9G3,,Genant T9 comment 3,x,,
,DXXT10G1,,Genant T10 comment 1,x,,
,DXXT10G2,,Genant T10 comment 2,x,,
,DXXT11G1,,Genant T11 comment 1,x,,
,DXXT11G2,,Genant T11 comment 2,x,,
,DXXT12G1,,Genant T12 comment 1,x,,
,DXXT12G2,,Genant T12 comment 2,x,,
,DXXT12G3,,Genant T12 comment 3,x,,
,DXXL1G1,,Genant L1 comment 1,x,,
,DXXL1G2,,Genant L1 comment 2,x,,
,DXXL1G3,,Genant L1 comment 3,x,,
,DXXL2G1,,Genant L2 comment 1,x,,
,DXXL2G2,,Genant L2 comment 2,x,,
,DXXL3G1,,Genant L3 comment 1,x,,
,DXXL3G2,,Genant L3 comment 2,x,,
,DXXL4G1,,Genant L4 comment 1,x,,
,DXXL4G2,,Genant L4 comment 2,x,,
,DXXL4G3,,Genant L4 comment 3,x,,
',MGDEXSTS,""":'",Grip test status,,"',","'MGDEXSTS"":'Grip test status',"
',MGD050,""":'",Have you ever had surgery on your hands or wrists for arthritis or carpal tunnel syndrome?,,"',","'MGD050"":'Have you ever had surgery on your hands or wrists for arthritis or carpal tunnel syndrome?',"
',MGD060,""":'",Which hand or wrist was the surgery on?,,"',","'MGD060"":'Which hand or wrist was the surgery on?',"
',MGQ070,""":'","Have you had any pain, aching or stiffness in your right hand in the past 7 days?",,"',","'MGQ070"":'Have you had any pain, aching or stiffness in your right hand in the past 7 days?',"
',MGQ080,""":'","Is the pain, aching or stiffness in your right hand caused by arthritis, tendonitis, or carpal tunnel syndrome?",,"',","'MGQ080"":'Is the pain, aching or stiffness in your right hand caused by arthritis, tendonitis, or carpal tunnel syndrome?',"
',MGQ090,""":'","Has the pain, aching or stiffness in your right hand gotten worse in the past 7 days?",,"',","'MGQ090"":'Has the pain, aching or stiffness in your right hand gotten worse in the past 7 days?',"
',MGQ100,""":'","Have you had any pain, aching or stiffness in your left hand in the past 7 days?",,"',","'MGQ100"":'Have you had any pain, aching or stiffness in your left hand in the past 7 days?',"
',MGQ110,""":'","Is the pain, aching or stiffness in your left hand caused by arthritis, tendonitis, or carpal tunnel syndrome?",,"',","'MGQ110"":'Is the pain, aching or stiffness in your left hand caused by arthritis, tendonitis, or carpal tunnel syndrome?',"
',MGQ120,""":'","Has the pain, aching or stiffness in your left hand gotten worse in the past 7 days?",,"',","'MGQ120"":'Has the pain, aching or stiffness in your left hand gotten worse in the past 7 days?',"
',MGD130,""":'","Are you right-handed, left-handed, or do you use both hands equally?",,"',","'MGD130"":'Are you right-handed, left-handed, or do you use both hands equally?',"
',MGQ90DG,""":'",Was the participant able to achieve a 90 degree angle with the index finger on the eligible hand(s)?,,"',","'MGQ90DG"":'Was the participant able to achieve a 90 degree angle with the index finger on the eligible hand(s)?',"
,MGDSEAT,,Testing position,x,,
,MGAPHAND,,The hand assigned for the practice trial,x,,
,MGATHAND,,Begin the test with this hand.,x,,
,MGXH1T1,,"Grip strength (kg), hand 1, test 1",x,,
,MGXH1T1E,,"Whether the participant exerted a maximal or questionable effort during the test 1 on hand 1, as assessed by the technician.",x,,
,MGXH2T1,,"Grip strength (kg), hand 2, test 1",x,,
,MGXH2T1E,,"Whether the participant exerted a maximal or questionable effort during the test 1 on hand 2, as assessed by the technician.",x,,
,MGXH1T2,,"Grip strength (kg), hand 1, test 2",x,,
,MGXH1T2E,,"Whether the participant exerted a maximal or questionable effort during the test 2 on hand 1, as assessed by the technician.",x,,
,MGXH2T2,,"Grip strength (kg), hand 2, test 2",x,,
,MGXH2T2E,,"Whether the participant exerted a maximal or questionable effort during the test 2 on hand 2, as assessed by the technician.",x,,
,MGXH1T3,,"Grip strength (kg), hand 1, test 3",x,,
,MGXH1T3E,,"Whether the participant exerted a maximal or questionable effort during the test 3 on hand 1, as assessed by the technician.",x,,
,MGXH2T3,,"Grip strength (kg), hand 2, test 3",x,,
,MGXH2T3E,,"Whether the participant exerted a maximal or questionable effort during the test 3 on hand 2, as assessed by the technician.",x,,
,MGDCGSZ,,Combined grip strength (kg): the sum of the largest reading from each hand.,x,,
',OHDEXSTS,""":'",Overall Oral Health Exam Status,,"',","'OHDEXSTS"":'Overall Oral Health Exam Status',"
',OHDDESTS,""":'",Dentition Status Code,,"',","'OHDDESTS"":'Dentition Status Code',"
',OHXIMP,""":'",Tooth Count: Ever had a tooth replaced with a surgical implant?,,"',","'OHXIMP"":'Tooth Count: Ever had a tooth replaced with a surgical implant?',"
,OHX01TC,,Tooth Count: Upper right 3rd molar (3M),x,,
,OHX02TC,,Tooth Count: Upper right 2nd molar (2M),x,,
,OHX03TC,,Tooth Count: Upper right 1st molar (1M),x,,
,OHX04TC,,Tooth Count: Upper right 2nd bicuspid/2nd primary molar (2B),x,,
,OHX05TC,,Tooth Count: Upper right 1st bicuspid/1st primary molar (1B),x,,
,OHX06TC,,Tooth Count: Upper right cuspid (C),x,,
,OHX07TC,,Tooth Count: Upper right lateral incisor (LI),x,,
,OHX08TC,,Tooth Count: Upper right central incisor (CI),x,,
,OHX09TC,,Tooth Count: Upper left central incisor (CI),x,,
,OHX10TC,,Tooth Count: Upper left lateral incisor (LI),x,,
,OHX11TC,,Tooth Count: Upper left cuspid (C),x,,
,OHX12TC,,Tooth Count: Upper left 1st bicuspid/1st primary molar (1B),x,,
,OHX13TC,,Tooth Count: Upper left 2nd bicuspid/2nd primary molar (2B),x,,
,OHX14TC,,Tooth Count: Upper left 1st molar (1M),x,,
,OHX15TC,,Tooth Count: Upper left 2nd molar (2M),x,,
,OHX16TC,,Tooth Count: Upper left 3rd molar (3M),x,,
,OHX17TC,,Tooth Count: Lower left 3rd molar (3M),x,,
,OHX18TC,,Tooth Count: Lower left 2nd molar (2M),x,,
,OHX19TC,,Tooth Count: Lower left 1st molar (1M),x,,
,OHX20TC,,Tooth Count: Lower left 2nd bicuspid/2nd primary molar (2B),x,,
,OHX21TC,,Tooth Count: Lower left 1st bicuspid/1st primary molar (1B),x,,
,OHX22TC,,Tooth Count: Lower left cuspid (C),x,,
,OHX23TC,,Tooth Count: Lower left lateral incisor (LI),x,,
,OHX24TC,,Tooth Count: Lower left central incisor (CI),x,,
,OHX25TC,,Tooth Count: Lower right central incisor (CI),x,,
,OHX26TC,,Tooth Count: Lower right lateral incisor (LI),x,,
,OHX27TC,,Tooth Count: Lower right cuspid (C),x,,
,OHX28TC,,Tooth Count: Lower right 1st bicuspid/1st primary molar (1B),x,,
,OHX29TC,,Tooth Count: Lower right 2nd bicuspid/2nd primary molar (2B),x,,
,OHX30TC,,Tooth Count: Lower right 1st molar (1M),x,,
,OHX31TC,,Tooth Count: Lower right 2nd molar (2M),x,,
,OHX32TC,,Tooth Count: Lower right 3rd molar (3M),x,,
,OHX02CTC,,Coronal Caries: Upper right 2nd molar (2M) tooth code,x,,
,OHX03CTC,,Coronal Caries: Upper right 1st molar (1M) tooth code,x,,
,OHX04CTC,,Coronal Caries: Upper right 2nd bicuspid/2nd primary molar (2B) tooth code,x,,
,OHX05CTC,,Coronal Caries: Upper right 1st bicuspid/1st primary molar (1B) tooth code,x,,
,OHX06CTC,,Coronal Caries: Upper right cuspid (C) tooth code,x,,
,OHX07CTC,,Coronal Caries: Upper right lateral incisor (LI) tooth code,x,,
,OHX08CTC,,Coronal Caries: Upper right central incisor (CI) tooth code,x,,
,OHX09CTC,,Coronal Caries: Upper left central incisor (CI) tooth code,x,,
,OHX10CTC,,Coronal Caries: Upper left lateral incisor (LI) tooth code,x,,
,OHX11CTC,,Coronal Caries: Upper left cuspid (C) tooth code,x,,
,OHX12CTC,,Coronal Caries: Upper left 1st bicuspid/1st primary molar (1B) tooth code,x,,
,OHX13CTC,,Coronal Caries: Upper left 2nd bicuspid/2nd primary molar (2B) tooth code,x,,
,OHX14CTC,,Coronal Caries: Upper left 1st molar (1M) tooth code,x,,
,OHX15CTC,,Coronal Caries: Upper left 2nd molar (2M) tooth code,x,,
,OHX18CTC,,Coronal Caries: Lower left 2nd molar (2M) tooth code,x,,
,OHX19CTC,,Coronal Caries: Lower left 1st molar (1M) tooth code,x,,
,OHX20CTC,,Coronal Caries: Lower left 2nd bicuspid/2nd primary molar (2B) tooth code,x,,
,OHX21CTC,,Coronal Caries: Lower left 1st bicuspid/1st primary molar (1B) tooth code,x,,
,OHX22CTC,,Coronal Caries: Lower left cuspid (C) tooth code,x,,
,OHX23CTC,,Coronal Caries: Lower left lateral incisor (LI) tooth code,x,,
,OHX24CTC,,Coronal Caries: Lower left central incisor (CI) tooth code,x,,
,OHX25CTC,,Coronal Caries: Lower right central incisor (CI) tooth code,x,,
,OHX26CTC,,Coronal Caries: Lower right lateral incisor (LI) tooth code,x,,
,OHX27CTC,,Coronal Caries: Lower right cuspid (C) tooth code,x,,
,OHX28CTC,,Coronal Caries: Lower right 1st bicuspid/1st primary molar (1B) tooth code,x,,
,OHX29CTC,,Coronal Caries: Lower right 2nd bicuspid/2nd primary molar (2B) tooth code,x,,
,OHX30CTC,,Coronal Caries: Lower right 1st molar (1M) tooth code,x,,
,OHX31CTC,,Coronal Caries: Lower right 2nd molar (2M) tooth code,x,,
,OHX02CSC,,"Coronal Caries: Upper right 2nd molar (2M) surface calls. These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",x,,
,OHX03CSC,,"Coronal Caries: Upper right 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",x,,
,OHX04CSC,,"Coronal Caries: Upper right 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",x,,
,OHX05CSC,,"Coronal Caries: Upper right 1st biscuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",x,,
,OHX06CSC,,"Coronal Caries: Upper right cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",x,,
,OHX07CSC,,"Coronal Caries: Upper right lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",x,,
,OHX08CSC,,"Coronal Caries: Upper right central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",x,,
,OHX09CSC,,"Coronal Caries: Upper left central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",x,,
,OHX10CSC,,"Coronal Caries: Upper left lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",x,,
,OHX11CSC,,"Coronal Caries: Upper left cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",x,,
,OHX12CSC,,"Coronal Caries: Upper left 1st bicuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",x,,
,OHX13CSC,,"Coronal Caries: Upper left 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",x,,
,OHX14CSC,,"Coronal Caries: Upper left 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",x,,
,OHX15CSC,,"Coronal Caries: Upper left 2nd molar (2M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",x,,
,OHX18CSC,,"Coronal Caries: Lower left 2nd molar (2M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",x,,
,OHX19CSC,,"Coronal Caries: Lower left 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",x,,
,OHX20CSC,,"Coronal Caries: Lower left 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",x,,
,OHX21CSC,,"Coronal Caries: Lower left 1st bicuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",x,,
,OHX22CSC,,"Coronal Caries: Lower left cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",x,,
,OHX23CSC,,"Coronal Caries: Lower left lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",x,,
,OHX24CSC,,"Coronal Caries: Lower left central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",x,,
,OHX25CSC,,"Coronal Caries: Lower right central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",x,,
,OHX26CSC,,"Coronal Caries: Lower right lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",x,,
,OHX27CSC,,"Coronal Caries: Lower right cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",x,,
,OHX28CSC,,"Coronal Caries: Lower right 1st bicuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",x,,
